Order_ID,Order_Date,Customer_ID,Category,Product,Quantity,Unit_Price,Total_Amount,City,Payment_Mode
ORD10114,2025-04-29,CUST247,Home,Table Lamp,3,99,297,Pune,UPI
ORD10919,2025-04-01,CUST180,Electronics,Headphones,1,999,999,Kolkata,Cash
ORD10492,2025-10-11,CUST376,Grocery,Cooking Oil,4,1499,5996,Mumbai,Card
ORD10928,2025-08-25,CUST242,Home,Bedsheet,5,499,2495,Lucknow,Card
ORD10603,2025-02-12,CUST149,Clothing,Jeans,3,999,2997,Delhi,Card
ORD10147,2025-05-09,CUST333,Clothing,Jacket,4,1499,5996,Kolkata,UPI
ORD10887,2025-03-24,CUST137,Clothing,Kurta,3,299,897,Mumbai,Cash
ORD10318,2025-02-02,CUST377,Electronics,Bluetooth Speaker,3,1499,4497,Lucknow,Cash
ORD10927,2025-04-28,CUST144,Grocery,Cooking Oil,5,999,4995,Kanpur,Card
ORD10223,2025-03-24,CUST239,Electronics,Smart Watch,1,2499,2499,Kanpur,Card
ORD10548,2025-07-14,CUST163,Electronics,Headphones,4,499,1996,Jaipur,UPI
ORD10564,2025-12-14,CUST368,Clothing,Jacket,1,1499,1499,Kolkata,Card
ORD10319,2025-04-03,CUST169,Home,Mixer Grinder,3,499,1497,Kolkata,Card
ORD10758,2025-07-24,CUST356,Electronics,Bluetooth Speaker,3,99,297,Kanpur,Card
ORD10035,2025-07-19,CUST235,Electronics,Mobile Charger,4,99,396,Kolkata,UPI
ORD10642,2025-08-18,CUST341,Electronics,Smart Watch,1,199,199,Kolkata,UPI
ORD10747,2025-06-04,CUST103,Clothing,T-Shirt,5,199,995,Mumbai,Cash
ORD10380,2025-08-26,CUST356,Grocery,Biscuits,3,499,1497,Delhi,UPI
ORD10789,2025-01-22,CUST225,Electronics,Headphones,4,499,1996,Lucknow,UPI
ORD10098,2025-07-28,CUST350,Grocery,Rice 5kg,2,1499,2998,Jaipur,Cash
ORD10855,2025-07-15,CUST322,Home,Water Bottle,4,499,1996,Jaipur,Cash
ORD10010,2025-05-06,CUST183,Electronics,Mobile Charger,5,1499,7495,Kanpur,UPI
ORD10055,2025-08-29,CUST213,Electronics,Bluetooth Speaker,1,2499,2499,Delhi,UPI
ORD10024,2025-12-20,CUST202,Home,Bedsheet,5,2499,12495,Pune,UPI
ORD10596,2025-07-03,CUST137,Clothing,Kurta,5,999,4995,Kolkata,Card
ORD10707,2025-07-11,CUST196,Clothing,Jeans,1,999,999,Kanpur,Card
ORD10659,2025-05-15,CUST213,Home,Table Lamp,1,99,99,Mumbai,Cash
ORD10359,2025-11-11,CUST303,Grocery,Rice 5kg,3,999,2997,Kolkata,UPI
ORD10636,2025-04-28,CUST139,Electronics,Mobile Charger,4,199,796,Jaipur,Card
ORD10358,2025-06-27,CUST127,Grocery,Rice 5kg,5,1499,7495,Lucknow,UPI
